,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,0.3115670680999756,0.0026631268712025134,0.011993122100830079,0.00017007113691250796,0.5,scale,poly,10000,True,69,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8198757763975155,0.7991718426501035,0.8132780082987552,0.7987551867219918,0.8423236514522822,0.8146808931041296,0.016045159750273607,41
44,0.4051956653594971,0.01026143518849839,0.021999406814575195,0.0003979961381865177,0.5,0.0001,rbf,10000,True,69,"{'C': 0.5, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8095238095238095,0.8053830227743272,0.8049792531120332,0.7987551867219918,0.8360995850622407,0.8109481714388803,0.0130375623187457,42
48,0.429331111907959,0.008883383478866778,0.023387908935546875,0.0005979438526902537,1,scale,rbf,10000,True,69,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8095238095238095,0.7991718426501035,0.8091286307053942,0.7925311203319502,0.8319502074688797,0.8084611221360273,0.013366882005867012,43
16,0.43693814277648924,0.017785342922849185,0.026289606094360353,0.006422924866874907,0.1,0.001,rbf,10000,True,69,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8012422360248447,0.8012422360248447,0.8070539419087137,0.7842323651452282,0.8340248962655602,0.8055591350738383,0.016153243377625453,44
123,0.8889224052429199,0.1369196928229635,0.011965084075927734,0.0035726913210773503,600,scale,poly,10000,True,69,"{'C': 600, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8115942028985508,0.8198757763975155,0.8174273858921162,0.7572614107883817,0.8195020746887967,0.8051321701330721,0.024118075714626968,45
3,0.32706780433654786,0.01579721354323499,0.014588689804077149,0.0024831729959276334,0.1,scale,poly,10000,True,69,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8012422360248447,0.7950310559006211,0.7987551867219918,0.7863070539419087,0.8298755186721992,0.802242210252313,0.014715223202562123,46
24,0.47772955894470215,0.02143269698347482,0.029165172576904298,0.006776205651486067,0.5,scale,rbf,10000,True,69,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.7867494824016563,0.7908902691511387,0.8070539419087137,0.7821576763485477,0.8215767634854771,0.7976856266591067,0.014597569148323459,47
2,0.7756216526031494,0.010608187503916539,0.009932613372802735,0.0003859029776002035,0.1,scale,linear,10000,True,69,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8033126293995859,0.7784679089026915,0.7842323651452282,0.7780082987551867,0.8174273858921162,0.7922897176189616,0.015577735394930237,48
6,0.9608416557312012,0.1514529050628645,0.011072254180908203,0.0009968851144327028,0.1,1,linear,10000,True,69,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8033126293995859,0.7784679089026915,0.7842323651452282,0.7780082987551867,0.8174273858921162,0.7922897176189616,0.015577735394930237,48
10,0.8435170173645019,0.016463335952857226,0.010219287872314454,0.0002447431178389023,0.1,0.1,linear,10000,True,69,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8033126293995859,0.7784679089026915,0.7842323651452282,0.7780082987551867,0.8174273858921162,0.7922897176189616,0.015577735394930237,48
