,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
988,Katy Dunne,GBR,f,R,448.0,173.92,23.0,5,1.85,7.08,48.14,42.72,35.71
989,Kayla Day,USA,f,L,418.0,173.92,20.0,17,4.6,8.1,54.84,43.94,36.36
990,Kaylah Mcphee,AUS,f,U,524.0,173.92,21.0,9,5.61,3.67,57.64,55.73,47.37
991,Kaza Vinayak Sharma,IND,m,R,1323.0,186.54,28.0,5,3.73,3.58,62.16,42.63,36.36
992,Kazuki Nishiwaki,JPN,m,R,1098.0,186.54,25.0,4,2.01,2.52,55.81,42.44,20.0
993,Kazuma Kawachi,JPN,m,R,1025.0,186.54,24.0,3,0.46,4.89,49.36,27.32,20.0
994,Keegan Smith,USA,m,U,661.0,186.54,21.0,6,11.82,4.42,65.96,70.58,57.14
995,Kei Nishikori,JPN,m,R,48.0,178.0,31.0,38,7.17,2.85,63.01,59.56,68.0
996,Kelly Williford,USA,f,L,1259.0,173.92,23.0,5,0.05,3.23,56.63,54.37,40.0
997,Kelsey Stevenson,CAN,m,R,735.0,186.54,28.0,2,2.19,5.47,54.97,67.64,33.33
998,Ken Onishi,JPN,m,U,1724.0,186.54,23.0,6,1.18,2.39,54.35,55.41,27.27
999,Ken Onoda,JPN,m,U,1231.8,186.54,29.0,4,2.59,4.66,58.1,54.22,20.0
1000,Kenneth Raisma,EST,m,L,914.0,186.54,20.0,6,0.9,6.22,54.65,63.66,25.0
1001,Kento Takeuchi,JPN,m,L,799.0,186.54,31.0,27,3.01,2.39,58.63,56.32,42.42
1002,Kevin Griekspoor,NED,m,R,877.2,186.54,26.0,4,1.71,5.32,57.53,52.34,50.0
1003,Kevin Kylar,CAN,m,R,751.29,186.54,24.0,3,1.54,10.58,44.53,22.41,0.0
1004,Khumoun Sultanov,UZB,m,R,387.0,186.54,22.0,21,5.03,4.26,60.56,55.98,50.77
1005,Kiki Bertens,NED,f,R,28.89,182.0,29.0,56,11.62,6.32,58.08,54.26,64.4
1006,Kimberley Zimmermann,BEL,f,R,480.0,173.92,25.0,4,2.97,7.94,48.78,61.22,20.0
1007,Kimberly Birrell,AUS,f,U,741.0,173.92,22.0,15,4.45,5.05,53.83,52.2,27.59
1008,Kimmer Coppejans,BEL,m,R,213.0,186.54,27.0,104,8.8,3.46,58.29,52.45,53.67
1009,Kirill Kivattsev,RUS,m,U,794.0,186.54,23.0,7,2.37,4.8,57.6,56.1,46.15
1010,Kirill Komarov,RUS,m,R,1417.0,186.54,25.0,4,1.96,6.94,55.64,20.49,33.33
1011,Kirsten Andrea Weedon,GUA,f,U,921.0,173.92,28.0,6,0.03,6.15,49.43,49.31,33.33
1012,Kittipong Wachiramanowong,THA,m,R,1025.67,183.0,27.0,4,2.31,3.5,59.58,60.32,33.33
1013,Klara Koukalova,CZE,f,R,114.43,166.0,34.0,10,1.1,11.07,46.39,57.46,28.57
1014,Ko Suzuki,JPN,m,L,1248.0,186.54,26.0,1,1.13,2.52,66.16,61.31,60.0
1015,Konstantin Kravchuk,RUS,m,R,534.0,190.0,36.0,64,10.35,2.95,62.5,57.98,51.32
1016,Koray Kirci,TUR,m,U,1072.0,186.54,22.0,3,1.02,7.84,52.76,42.37,0.0
1017,Kristian Lozan,RUS,m,U,1024.0,186.54,19.0,5,1.75,5.73,55.35,52.6,28.57
1018,Kristie Ahn,USA,f,R,255.0,173.92,29.0,35,6.66,3.83,54.09,50.43,49.09
1019,Kristijan Mesaros,CRO,m,R,306.6,186.54,28.0,3,0.18,5.9,54.54,48.59,40.0
1020,Kristina Kucova,SVK,f,R,108.0,173.92,31.0,43,2.26,5.7,50.98,45.84,50.37
1021,Kristina Mladenovic,FRA,f,R,92.0,184.0,28.0,65,11.77,8.39,53.81,49.6,50.67
1022,Kristyna Pliskova,CZE,f,L,150.0,173.92,29.0,58,18.62,5.26,60.01,55.24,51.6
1023,Ksenia Lykina,RUS,f,R,240.73,173.92,27.0,7,1.42,6.37,55.9,44.16,27.27
1024,Ksenia Palkina,KGZ,f,U,972.0,173.92,28.0,4,0.26,8.21,46.7,49.36,40.0
1025,Kuan Yi Lee,TPE,m,R,1011.0,186.54,17.0,14,2.13,3.72,56.79,54.85,47.22
